Precinct,2010_BURGLARY                              ,2011_BURGLARY                              ,2012_BURGLARY                              ,2013_BURGLARY                              ,2014_BURGLARY                              ,2015_BURGLARY                              ,2016_BURGLARY                              ,2017_BURGLARY                              ,2018_BURGLARY                              ,2010_FELONY ASSAULT                        ,2011_FELONY ASSAULT                        ,2012_FELONY ASSAULT                        ,2013_FELONY ASSAULT                        ,2014_FELONY ASSAULT                        ,2015_FELONY ASSAULT                        ,2016_FELONY ASSAULT                        ,2017_FELONY ASSAULT                        ,2018_FELONY ASSAULT                        ,2010_GRAND LARCENY                         ,2011_GRAND LARCENY                         ,2012_GRAND LARCENY                         ,2013_GRAND LARCENY                         ,2014_GRAND LARCENY                         ,2015_GRAND LARCENY                         ,2016_GRAND LARCENY                         ,2017_GRAND LARCENY                         ,2018_GRAND LARCENY                         ,2010_GRAND LARCENY OF MOTOR VEHICLE                                  ,2011_GRAND LARCENY OF MOTOR VEHICLE                                  ,2012_GRAND LARCENY OF MOTOR VEHICLE                                  ,2013_GRAND LARCENY OF MOTOR VEHICLE                                  ,2014_GRAND LARCENY OF MOTOR VEHICLE                                  ,2015_GRAND LARCENY OF MOTOR VEHICLE                                  ,2016_GRAND LARCENY OF MOTOR VEHICLE                                  ,2017_GRAND LARCENY OF MOTOR VEHICLE                                  ,2018_GRAND LARCENY OF MOTOR VEHICLE                                  ,2010_MURDER & NON NEGL. MANSLAUGHTER                                ,2011_MURDER & NON NEGL. MANSLAUGHTER                                ,2012_MURDER & NON NEGL. MANSLAUGHTER                                ,2013_MURDER & NON NEGL. MANSLAUGHTER                                ,2014_MURDER & NON NEGL. MANSLAUGHTER                                ,2015_MURDER & NON NEGL. MANSLAUGHTER                                ,2016_MURDER & NON NEGL. MANSLAUGHTER                                ,2017_MURDER & NON NEGL. MANSLAUGHTER                                ,2018_MURDER & NON NEGL. MANSLAUGHTER                                ,2010_RAPE                                  ,2011_RAPE                                  ,2012_RAPE                                  ,2013_RAPE                                  ,2014_RAPE                                  ,2015_RAPE                                  ,2016_RAPE                                  ,2017_RAPE                                  ,2018_RAPE                                  ,2010_ROBBERY                               ,2011_ROBBERY                               ,2012_ROBBERY                               ,2013_ROBBERY                               ,2014_ROBBERY                               ,2015_ROBBERY                               ,2016_ROBBERY                               ,2017_ROBBERY                               ,2018_ROBBERY                               ,2010_TOTAL SEVEN MAJOR FELONY OFFENSES,2011_TOTAL SEVEN MAJOR FELONY OFFENSES,2012_TOTAL SEVEN MAJOR FELONY OFFENSES,2013_TOTAL SEVEN MAJOR FELONY OFFENSES,2014_TOTAL SEVEN MAJOR FELONY OFFENSES,2015_TOTAL SEVEN MAJOR FELONY OFFENSES,2016_TOTAL SEVEN MAJOR FELONY OFFENSES,2017_TOTAL SEVEN MAJOR FELONY OFFENSES,2018_TOTAL SEVEN MAJOR FELONY OFFENSES,2010_TOTAL_7_MAJOR,2011_TOTAL_7_MAJOR,2012_TOTAL_7_MAJOR,2013_TOTAL_7_MAJOR,2014_TOTAL_7_MAJOR,2015_TOTAL_7_MAJOR,2016_TOTAL_7_MAJOR,2017_TOTAL_7_MAJOR,2018_TOTAL_7_MAJOR
68,240,206,200,236,195,227,133,123,96,100,145,110,102,124,129,132,114,129,317,366,393,388,408,390,402,424,387,147,122,113,119,111,109,101,94,86,1,1,1,0,1,0,3,3,2,6,9,16,4,13,6,9,13,16,103,101,112,98,93,97,87,81,59,914,950,945,947,945,958,867,852,775,1828,1900,1890,1894,1890,1916,1734,1704,1550
69,253,231,308,255,225,124,99,89,90,160,197,205,223,257,253,244,221,187,244,273,314,363,354,367,336,306,292,113,127,78,88,98,101,95,75,61,9,6,4,3,3,4,6,7,5,15,16,8,13,14,20,17,17,19,229,233,220,241,202,188,164,139,115,1023,1083,1137,1186,1153,1057,961,854,769,2046,2166,2274,2372,2306,2114,1922,1708,1538
70,322,338,354,321,294,283,180,180,173,362,336,266,276,315,263,261,257,273,672,703,739,720,674,646,646,521,527,184,123,118,109,92,97,83,79,75,7,10,11,8,3,17,5,6,6,24,21,15,25,22,18,25,24,27,400,381,386,373,325,350,237,221,162,1971,1912,1889,1832,1725,1674,1437,1288,1243,3942,3824,3778,3664,3450,3348,2874,2576,2486
71,307,236,213,195,179,209,164,132,143,293,385,347,372,389,373,371,303,349,423,380,616,639,533,497,482,505,464,150,122,126,80,81,96,78,77,68,10,9,3,6,5,4,5,3,8,13,20,16,17,19,21,13,22,26,273,300,321,328,294,297,225,228,166,1469,1452,1642,1637,1500,1497,1338,1270,1224,2938,2904,3284,3274,3000,2994,2676,2540,2448
72,245,204,178,177,188,212,141,144,153,188,255,230,206,260,225,240,225,209,372,388,397,437,420,388,424,420,468,119,99,113,127,102,106,112,108,77,7,5,2,5,1,3,4,2,2,20,25,23,22,15,20,24,21,32,251,242,209,232,199,212,194,170,185,1202,1218,1152,1206,1185,1166,1139,1090,1126,2404,2436,2304,2412,2370,2332,2278,2180,2252
73,281,338,316,291,275,168,190,202,176,570,626,663,680,608,591,576,578,588,446,443,485,465,423,446,356,351,413,148,129,155,131,100,106,99,84,77,28,26,16,15,18,14,14,9,13,35,31,35,42,34,34,33,32,48,501,542,579,470,421,376,335,354,371,2009,2135,2249,2094,1879,1735,1603,1610,1686,4018,4270,4498,4188,3758,3470,3206,3220,3372
75,471,512,657,638,530,439,374,396,441,746,877,915,944,920,864,928,825,940,707,821,986,1041,1081,1133,1045,1051,1030,322,320,283,291,312,264,225,219,207,33,29,18,18,21,18,23,11,7,61,54,75,61,70,56,56,65,70,763,780,846,909,817,732,636,664,603,3103,3393,3780,3902,3751,3506,3287,3231,3298,6206,6786,7560,7804,7502,7012,6574,6462,6596
76,105,97,101,92,96,132,75,74,65,90,96,119,103,101,102,80,88,91,228,264,240,282,293,276,215,237,210,59,38,48,48,51,32,32,21,28,2,3,0,1,1,1,3,2,4,2,7,8,7,5,4,7,6,9,99,126,114,104,85,81,68,48,53,585,631,630,637,632,628,480,476,460,1170,1262,1260,1274,1264,1256,960,952,920
77,317,370,323,307,298,255,196,181,158,301,355,342,392,388,353,370,296,297,281,381,425,551,511,454,455,373,397,129,105,119,111,138,102,84,64,72,20,10,10,12,8,12,10,6,2,23,23,19,24,22,21,22,24,32,295,355,363,395,299,298,256,209,180,1366,1599,1601,1792,1664,1495,1393,1153,1138,2732,3198,3202,3584,3328,2990,2786,2306,2276
78,172,132,165,167,132,166,127,131,106,45,70,77,81,82,100,81,93,81,404,406,471,530,569,511,532,471,504,92,75,49,67,70,60,51,72,68,1,0,1,1,0,0,0,0,0,5,8,3,7,5,11,10,9,12,126,172,162,156,98,122,127,83,93,845,863,928,1009,956,970,928,859,864,1690,1726,1856,2018,1912,1940,1856,1718,1728
79,408,352,328,244,362,312,327,289,301,422,439,515,473,375,363,384,325,343,405,406,468,482,446,456,479,521,484,120,91,100,106,132,95,98,84,72,12,13,11,13,11,7,7,5,9,29,34,18,26,26,27,22,28,27,433,512,476,394,316,281,307,278,309,1829,1847,1916,1738,1668,1541,1624,1530,1545,3658,3694,3832,3476,3336,3082,3248,3060,3090
81,245,298,335,252,310,247,233,178,218,327,288,317,370,327,332,299,282,274,360,423,434,433,445,417,399,396,399,83,85,96,79,115,78,60,55,48,17,12,16,6,7,5,10,8,10,24,16,21,17,29,12,20,22,15,353,336,352,338,318,334,235,214,234,1409,1458,1571,1495,1551,1425,1256,1155,1198,2818,2916,3142,2990,3102,2850,2512,2310,2396
83,477,481,520,397,496,472,323,334,303,376,357,383,373,308,279,311,301,297,298,375,430,553,482,426,487,466,471,176,118,180,152,134,131,115,110,92,13,17,9,7,9,7,4,4,8,36,29,40,29,24,33,29,28,24,460,446,473,392,343,330,337,277,265,1836,1823,2035,1903,1796,1678,1606,1520,1460,3672,3646,4070,3806,3592,3356,3212,3040,2920
84,119,145,141,101,115,92,80,117,126,114,126,133,121,128,134,121,146,177,513,561,552,653,604,684,593,649,650,52,45,23,38,42,51,34,29,31,3,1,3,1,1,2,3,4,2,2,3,5,4,6,10,4,7,18,184,171,181,156,142,121,127,127,147,987,1052,1038,1074,1038,1094,962,1079,1151,1974,2104,2076,2148,2076,2188,1924,2158,2302
88,184,126,209,146,182,122,112,144,101,133,154,206,197,170,180,179,148,181,477,444,449,433,410,370,378,328,402,101,80,82,82,100,87,57,42,48,6,2,4,6,2,8,2,1,1,8,14,10,11,3,11,11,9,12,237,294,276,218,194,149,121,101,100,1146,1114,1236,1093,1061,927,860,773,845,2292,2228,2472,2186,2122,1854,1720,1546,1690
90,476,313,348,277,333,383,257,271,229,206,235,239,257,240,180,228,258,237,495,584,601,667,652,642,706,695,720,165,189,125,142,160,149,114,124,90,2,5,5,6,2,6,3,7,4,9,23,11,17,15,19,22,20,16,380,385,387,303,253,273,228,197,198,1733,1734,1716,1669,1655,1652,1558,1572,1494,3466,3468,3432,3338,3310,3304,3116,3144,2988
94,243,157,213,190,241,221,171,134,141,73,93,89,115,94,97,87,87,115,308,317,411,493,481,488,515,416,535,147,114,91,111,113,120,84,66,62,0,1,0,1,1,2,1,2,1,2,3,12,16,10,8,13,11,6,132,128,134,117,93,76,86,85,63,905,813,950,1043,1033,1012,957,801,923,1810,1626,1900,2086,2066,2024,1914,1602,1846
100,57,138,207,151,130,77,66,73,59,79,130,133,147,136,128,121,143,121,100,144,185,173,187,194,232,157,161,27,21,30,20,35,23,18,21,17,1,1,2,3,1,3,0,1,2,4,5,4,3,7,10,5,9,5,62,86,54,61,59,66,54,52,38,330,525,615,558,555,501,496,456,403,660,1050,1230,1116,1110,1002,992,912,806
101,136,132,237,227,152,151,141,95,98,159,183,245,212,279,329,316,297,301,99,117,197,182,197,221,229,253,250,78,46,55,61,73,36,51,27,31,6,8,7,3,5,5,2,3,6,16,17,15,19,13,16,19,25,26,121,128,143,148,145,169,154,127,151,615,631,899,852,864,927,912,827,863,1230,1262,1798,1704,1728,1854,1824,1654,1726
102,358,298,315,288,293,227,172,154,104,239,260,260,327,240,302,274,176,184,356,419,443,490,496,401,358,306,285,290,254,232,252,256,234,175,124,99,5,6,7,7,3,6,5,6,2,14,23,29,24,15,17,21,19,24,272,269,326,311,234,238,173,141,101,1534,1529,1612,1699,1537,1425,1178,926,799,3068,3058,3224,3398,3074,2850,2356,1852,1598
103,257,252,310,300,281,251,202,165,152,342,357,378,369,458,444,414,386,408,419,405,495,487,493,504,471,511,466,169,204,175,172,144,110,98,80,79,15,11,10,8,9,6,4,6,5,21,37,34,37,20,28,29,30,31,480,436,438,438,392,384,387,355,346,1703,1702,1840,1811,1797,1727,1605,1533,1487,3406,3404,3680,3622,3594,3454,3210,3066,2974
104,448,401,390,339,292,267,303,263,214,225,250,256,241,215,185,208,187,168,431,543,529,572,575,529,545,523,531,359,250,210,181,227,178,156,152,123,4,2,1,3,3,3,1,2,2,21,14,15,15,18,19,21,16,17,263,262,279,256,180,174,179,144,140,1751,1722,1680,1607,1510,1355,1413,1287,1195,3502,3444,3360,3214,3020,2710,2826,2574,2390
105,394,493,537,469,323,358,334,302,266,270,278,290,313,353,359,336,392,405,442,452,488,520,592,679,633,609,589,383,421,320,263,232,232,204,161,164,15,5,8,3,7,8,1,6,9,19,27,34,18,23,37,17,21,24,337,342,353,331,213,275,222,214,197,1860,2018,2030,1917,1743,1948,1747,1705,1654,3720,4036,4060,3834,3486,3896,3494,3410,3308
