,precinct,2010_no_arrest,2010_yes_arrest,2011_no_arrest,2011_yes_arrest,2012_no_arrest,2012_yes_arrest,2013_no_arrest,2013_yes_arrest,2014_no_arrest,2014_yes_arrest,2015_no_arrest,2015_yes_arrest,2016_no_arrest,2016_yes_arrest,2017_no_arrest,2017_yes_arrest,2018_no_arrest,2018_yes_arrest
51,81.0,10602.0,553.0,13191.0,460.0,9333.0,376.0,1959.0,165.0,208.0,58.0,111.0,8.0,68.0,11.0,103.0,29.0,91.0,32.0
52,83.0,8890.0,685.0,14248.0,773.0,11237.0,574.0,3447.0,248.0,457.0,97.0,177.0,64.0,51.0,20.0,105.0,23.0,102.0,44.0
53,84.0,3993.0,367.0,4916.0,298.0,3625.0,205.0,2086.0,135.0,989.0,76.0,238.0,33.0,132.0,24.0,110.0,55.0,88.0,45.0
54,88.0,6999.0,488.0,7164.0,570.0,5518.0,430.0,1578.0,89.0,302.0,44.0,81.0,23.0,29.0,5.0,67.0,15.0,66.0,43.0
55,90.0,9711.0,682.0,17014.0,552.0,9371.0,475.0,2104.0,147.0,512.0,93.0,263.0,29.0,138.0,35.0,108.0,42.0,123.0,29.0
56,94.0,1784.0,129.0,1886.0,137.0,1946.0,146.0,432.0,54.0,114.0,20.0,66.0,11.0,41.0,4.0,62.0,33.0,55.0,14.0
57,100.0,3133.0,335.0,4752.0,360.0,3896.0,234.0,1633.0,103.0,171.0,29.0,141.0,17.0,34.0,8.0,63.0,36.0,70.0,36.0
58,101.0,9212.0,795.0,11044.0,532.0,9366.0,404.0,6294.0,234.0,1410.0,76.0,145.0,30.0,46.0,10.0,84.0,16.0,46.0,17.0
59,102.0,7522.0,884.0,8748.0,738.0,6027.0,822.0,2032.0,323.0,1012.0,169.0,558.0,63.0,77.0,6.0,58.0,10.0,58.0,19.0
60,103.0,15291.0,1129.0,15954.0,1198.0,11942.0,1044.0,4562.0,382.0,290.0,35.0,147.0,13.0,48.0,11.0,134.0,25.0,199.0,22.0
61,104.0,7259.0,332.0,6315.0,559.0,4453.0,440.0,1287.0,193.0,375.0,122.0,99.0,32.0,11.0,2.0,74.0,32.0,59.0,5.0
62,105.0,8905.0,842.0,8780.0,1011.0,7327.0,871.0,4857.0,306.0,1524.0,184.0,405.0,106.0,120.0,36.0,127.0,35.0,107.0,25.0
63,106.0,7987.0,459.0,8378.0,265.0,4715.0,304.0,2669.0,162.0,2083.0,145.0,1355.0,126.0,698.0,92.0,175.0,36.0,49.0,21.0
64,107.0,6386.0,337.0,5218.0,365.0,4121.0,321.0,1740.0,169.0,1227.0,139.0,529.0,41.0,23.0,3.0,55.0,10.0,71.0,32.0
65,108.0,6283.0,460.0,5440.0,420.0,3885.0,211.0,794.0,36.0,154.0,12.0,87.0,5.0,26.0,5.0,53.0,22.0,53.0,24.0
66,109.0,9838.0,362.0,12016.0,848.0,8936.0,746.0,3385.0,344.0,764.0,107.0,175.0,46.0,107.0,23.0,143.0,19.0,74.0,23.0
67,110.0,13709.0,659.0,10118.0,677.0,8493.0,597.0,2370.0,367.0,187.0,52.0,125.0,67.0,35.0,34.0,69.0,70.0,67.0,72.0
68,111.0,4424.0,281.0,4425.0,255.0,3572.0,180.0,1576.0,86.0,487.0,37.0,174.0,25.0,46.0,11.0,46.0,29.0,74.0,27.0
69,112.0,2904.0,291.0,3122.0,285.0,2575.0,224.0,1925.0,126.0,608.0,42.0,167.0,8.0,37.0,7.0,42.0,15.0,41.0,35.0
70,113.0,8535.0,619.0,11764.0,595.0,8158.0,578.0,3109.0,154.0,619.0,57.0,150.0,13.0,60.0,10.0,96.0,20.0,85.0,17.0
71,114.0,10217.0,670.0,9603.0,740.0,7902.0,562.0,2872.0,288.0,889.0,129.0,663.0,75.0,215.0,36.0,239.0,111.0,129.0,125.0
72,115.0,13516.0,507.0,17485.0,671.0,7604.0,464.0,940.0,247.0,176.0,29.0,112.0,20.0,49.0,31.0,96.0,39.0,112.0,54.0
73,120.0,17422.0,1107.0,15221.0,1269.0,11514.0,854.0,4233.0,303.0,1837.0,97.0,519.0,38.0,135.0,20.0,133.0,67.0,78.0,44.0
74,122.0,6413.0,188.0,9192.0,343.0,6188.0,232.0,2145.0,94.0,897.0,28.0,363.0,24.0,108.0,22.0,94.0,70.0,32.0,34.0
75,123.0,2240.0,118.0,1922.0,105.0,1849.0,91.0,965.0,69.0,251.0,70.0,97.0,30.0,21.0,22.0,39.0,23.0,32.0,4.0
