,precinct,city_14,gent_rate,total,model_rate,MODEL_allocation
59,103.0,0.02395055920278853,-9.468239827119808e-05,0.02385587680451733,0.01195443064399428,239.0
60,104.0,0.010970211491991531,0.012406474874236633,0.023376686366228167,0.011714303278031848,234.0
61,105.0,0.019331522785107885,0.008880243408923877,0.028211766194031762,0.014137212606969563,283.0
62,106.0,0.012766503432200671,0.011862816634777326,0.024629320066977996,0.012342011193387454,247.0
63,107.0,0.008233004725958558,0.00836273891066646,0.01659574363662502,0.008316301593742961,166.0
64,108.0,0.006768171417573723,0.027747893795276358,0.03451606521285008,0.017296363117220097,346.0
65,109.0,0.015161559352479525,0.03992087408354887,0.055082433436028394,0.027602386431201886,552.0
66,110.0,0.011194747984517674,0.018521048026531314,0.029715796011048987,0.014890897758907772,298.0
67,111.0,0.004116502362979279,0.037179802321158535,0.041296304684137815,0.02069401239137435,414.0
68,112.0,0.005870025447469153,0.007065054195734978,0.012935079643204131,0.006481904385084063,130.0
69,113.0,0.026741227038470587,-0.00018738594447384308,0.026553841093996743,0.013306408910936353,266.0
70,114.0,0.016744007014092337,0.015090983860797805,0.03183499087489014,0.015952848582534627,319.0
71,115.0,0.01719307999914462,0.012742097155003157,0.029935177154147778,0.015000831955888453,300.0
72,120.0,0.01676539144195197,0.002907596720114815,0.019672988162066786,0.009858341173987557,197.0
73,122.0,0.007388319825503069,0.013287115408321943,0.02067543523382501,0.010360677939548806,207.0
74,123.0,0.004768727412698073,0.0070587553697146485,0.011827482782412722,0.0059268759548848655,119.0
