,Unnamed: 0,precinct,no_arrest,yes_arrest,year
85,8,17.0,31.0,7.0,2016
86,9,18.0,85.0,13.0,2016
87,10,19.0,53.0,38.0,2016
88,11,20.0,31.0,3.0,2016
89,12,22.0,23.0,1.0,2016
90,13,23.0,226.0,57.0,2016
91,14,24.0,85.0,17.0,2016
92,15,25.0,162.0,46.0,2016
93,16,26.0,40.0,11.0,2016
94,17,28.0,69.0,13.0,2016
95,18,30.0,77.0,17.0,2016
96,19,32.0,126.0,46.0,2016
97,20,33.0,19.0,1.0,2016
98,21,34.0,68.0,15.0,2016
99,22,40.0,139.0,130.0,2016
100,23,41.0,87.0,24.0,2016
101,24,42.0,69.0,55.0,2016
102,25,43.0,105.0,62.0,2016
103,26,44.0,87.0,10.0,2016
104,27,45.0,32.0,17.0,2016
105,28,46.0,73.0,11.0,2016
106,29,47.0,74.0,43.0,2016
107,30,48.0,39.0,6.0,2016
108,31,49.0,357.0,46.0,2016
109,32,50.0,79.0,6.0,2016
110,33,52.0,76.0,4.0,2016
111,34,60.0,72.0,93.0,2016
112,35,61.0,39.0,21.0,2016
113,36,62.0,60.0,14.0,2016
114,37,63.0,39.0,2.0,2016
115,38,66.0,130.0,52.0,2016
116,39,67.0,182.0,7.0,2016
117,40,68.0,42.0,7.0,2016
118,41,69.0,12.0,4.0,2016
119,42,70.0,71.0,13.0,2016
120,43,71.0,86.0,13.0,2016
121,44,72.0,44.0,32.0,2016
122,45,73.0,93.0,13.0,2016
123,46,75.0,198.0,20.0,2016
124,47,76.0,48.0,26.0,2016
125,48,77.0,58.0,6.0,2016
126,49,78.0,46.0,7.0,2016
127,50,79.0,122.0,18.0,2016
128,51,81.0,68.0,11.0,2016
129,52,83.0,51.0,20.0,2016
130,53,84.0,132.0,24.0,2016
131,54,88.0,29.0,5.0,2016
132,55,90.0,138.0,35.0,2016
133,56,94.0,41.0,4.0,2016
134,57,100.0,34.0,8.0,2016
135,58,101.0,46.0,10.0,2016
136,59,102.0,77.0,6.0,2016
137,60,103.0,48.0,11.0,2016
138,61,104.0,11.0,2.0,2016
139,62,105.0,120.0,36.0,2016
140,63,106.0,698.0,92.0,2016
141,64,107.0,23.0,3.0,2016
142,65,108.0,26.0,5.0,2016
143,66,109.0,107.0,23.0,2016
144,67,110.0,35.0,34.0,2016
145,68,111.0,46.0,11.0,2016
146,69,112.0,37.0,7.0,2016
147,70,113.0,60.0,10.0,2016
148,71,114.0,215.0,36.0,2016
149,72,115.0,49.0,31.0,2016
150,73,120.0,135.0,20.0,2016
151,74,121.0,62.0,10.0,2016
