,precinct,total_vacant_pct,unemployment_rate,tot_units_pct,spanish_spking_pct,not_usborn_pct,non_white_pct,all_rates,total_share,allocation
0,1.0,0.009774299536050985,0.031307692307692314,0.7982892014076525,0.03760330033873285,0.019968103755057927,0.27275243505423674,1.1696950323994233,0.01103335290730446,220
1,5.0,0.017024174327545116,0.06527272727272727,0.5777060917799327,0.09677609709081611,0.032317708845571315,0.6771573004976494,1.466254099814242,0.01383069816227812,276
2,6.0,0.052424556432000335,0.03858333333333334,0.7922495685827735,0.04314172265317406,0.02005461825858227,0.10369092097106569,1.050144720230929,0.009905673685116408,198
3,7.0,0.006490655963878088,0.07340000000000002,0.5403775119455082,0.22222033955742315,0.07572266088312041,0.7014300721813684,1.6196412405312983,0.015277549185918057,305
4,9.0,0.02778688703788724,0.05928571428571429,0.6040967801579545,0.16262975778546712,0.061042288491507966,0.45319474893684464,1.3680361766953757,0.01290424042964162,258
5,10.0,0.039368033762579815,0.05809090909090909,0.9338871371978333,0.14839518150214245,0.04325329452663918,0.08523324440132585,1.30822780048143,0.01234008746386587,246
6,13.0,0.05832155976264483,0.042666666666666665,0.6654006693490768,0.05618959876659271,0.022778550746437032,0.4251682773662242,1.2705253226576423,0.011984452249739713,239
7,14.0,0.011361124618717123,0.03785714285714285,3.557879836426549,0.09169550173010381,0.026187480339729476,0.31786725385341297,4.042848339825655,0.03813487383331422,762
8,17.0,0.07679346584418553,0.03135714285714286,0.8801307025260776,0.04207615935654141,0.020158351137363327,0.22195551087093124,1.2724713325922419,0.01200280832869605,240
9,18.0,0.11687467096094886,0.03535714285714286,1.0617499095781409,0.12333541577614836,0.02656758622957288,0.3434386610988722,1.7073233865008262,0.016104626358475656,322
10,19.0,0.07329896836455238,0.028225806451612906,0.6808308799476611,0.069993924949764,0.020290667788214402,0.17389597644749755,1.0465362239493023,0.00987163591301592,197
11,20.0,0.061199460916442044,0.04257142857142858,0.7556700715951564,0.07305150166512206,0.03350612581601165,0.13151918200242385,1.0975177705665846,0.010352528265302656,207
12,23.0,0.024853588182162524,0.10783333333333334,0.45959264566064517,0.34667970057715225,0.06992782248885199,0.6525971852109753,1.6614842754531207,0.015672240928823127,313
13,25.0,0.032750020443208766,0.09127272727272726,0.38720810575476927,0.32337528694688517,0.06179054856328663,0.8369508430301591,1.733347532011036,0.016350103661167268,327
14,26.0,0.03806823463791019,0.04977777777777779,0.369580155294441,0.16292173435030577,0.026266061980347696,0.6151480794337938,1.2617620434745762,0.011901791086638368,238
15,28.0,0.05191939378799233,0.0638,0.4894241349798264,0.16163345152219097,0.035069486897338714,0.7112523943432367,1.5130988615305851,0.014272569567694595,285
16,32.0,0.03425593280372413,0.11560000000000001,0.5314706000995012,0.20958438100872653,0.029769668284680858,0.833913756706243,1.7545943389028757,0.016550517882051953,331
17,33.0,0.027684964200477332,0.094,0.3781149686085936,0.7097551857056298,0.042065773698255746,0.6621717438667509,1.9137926360797073,0.018052183655044747,361
18,34.0,0.039242363045003295,0.08644444444444446,0.35738379955327976,0.5650555361402763,0.03867017154665492,0.6141795693859875,1.7009758841156462,0.016044752432404528,320
19,40.0,0.026290892794901155,0.11261904761904766,0.3590449543662677,0.4687804485603697,0.08065683969643064,0.8949574949271022,1.9423496779641192,0.01832155294564784,366
20,41.0,0.018865254916757064,0.10215384615384616,0.4156310032540087,0.642509899243345,0.1165954443878151,0.8810718626259458,2.176827310581718,0.020533304212328286,410
21,42.0,0.01846330275229358,0.11972222222222222,0.4784045865393847,0.5752239092567447,0.09429562879754214,0.8870098341768506,2.1731194837450376,0.0204983294873999,409
22,43.0,0.03022118953498899,0.11772972972972974,0.39060814832713536,0.47988849533530964,0.10701972548164475,0.7366910460339818,1.8621583344427903,0.017565134076904985,351
23,44.0,0.020099964298464834,0.10512903225806447,0.36704340704340704,0.5545683865683866,0.052186732186732185,0.8864340704340704,1.9854615927891257,0.018728213620095774,374
24,45.0,0.02492691183258963,0.07096296296296296,0.4293701327123025,0.2945271659688328,0.07724896563684562,0.5694406593497345,1.466476798463268,0.01383279880622259,276
25,46.0,0.020844447831720143,0.12575862068965518,0.3716523389369627,0.5659264399722415,0.05083629565636109,0.8994887337308275,2.034506876817768,0.019190841836971204,383
26,47.0,0.04257677850721451,0.10211363636363636,0.3587848881652134,0.169973960113606,0.05295605536117136,0.8775876748680915,1.6039929933789332,0.01512994435865073,302
27,48.0,0.042182405724342883,0.1516190476190476,0.3582140457857475,0.4672626737636298,0.07351558059015038,0.8383546069970544,1.9311483604799726,0.018215894559995102,364
28,49.0,0.029010301022822406,0.09300000000000001,0.3942568488727523,0.3147467818549718,0.07964639869121594,0.6952197810082803,1.6058801114500427,0.015147744929807805,302
29,50.0,0.04201936015974304,0.07649999999999998,0.4872513457206612,0.4153808733171882,0.045209868970695545,0.4928774627481255,1.5592389109164135,0.01470779365083874,294
30,52.0,0.018530517040300634,0.11948148148148148,0.3685241025501085,0.5669863966926362,0.06609952108717305,0.8274140071768703,1.9670360260285702,0.01855441124002643,371
31,60.0,0.03620739397436426,0.09422222222222221,0.4390817702253952,0.10424640553037089,0.034655301899255316,0.3790729028113322,1.0874859966629402,0.010257901803960722,205
32,61.0,0.04689554419284148,0.07065384615384616,0.3871453053329337,0.06163783108134859,0.015474500443986947,0.35708993422206137,0.9388969614270182,0.008856309749191701,177
33,62.0,0.03936016482337288,0.0676909090909091,0.35853963824395446,0.10178107911233315,0.020406488216766355,0.5224071243164493,1.1101854038037853,0.010472017930672636,209
