,precinct,lim_eng_other_lang_tot,total_spanish_speaking,born_outside_us,tot_w_race,white,black,am_indian_alask_native,nat_hawai_pac_isl,asian,other_race,two_more_race,lim_eng_other_perc,unemployment_rate,median_fam_income,median_income,fam_below_pov_line
51,83.0,24,55302,7942,118348,46039,33828,861,40,6785,27503,3292,-252873554.43448278,9.06551724137931,46783.44827586207,1358.9655172413793,-888888888.0
52,84.0,18,5814,2052,60197,36918,9175,159,134,7197,3650,2964,-166666656.71875,6.281250000000001,162166.6875,1614.6875,-888888888.0
53,88.0,69,6616,1848,59115,23314,24008,54,7,4906,3910,2916,-37037024.47777777,7.777777777777778,96548.83333333333,1365.2222222222222,-888888888.0
54,90.0,119,28875,7024,121278,84022,11964,684,66,7470,14003,3069,-205128197.98846155,7.523076923076925,45716.38461538462,1566.2307692307693,-888888888.0
55,94.0,43,7874,2318,67963,52958,3770,82,9,5330,3396,2418,-212121207.70000002,4.677272727272727,104656.04545454546,1475.590909090909,-888888888.0
56,100.0,80,5992,1199,50108,32162,11233,187,0,2253,2957,1316,-55555528.86666667,6.791666666666667,94526.16666666667,1535.0,-888888888.0
57,101.0,17,15490,2892,72901,28394,35080,162,62,2063,6011,1129,-55555553.50833333,10.691666666666668,52757.666666666664,1886.0833333333333,-888888888.0
58,102.0,50,50240,5449,155032,60021,9754,907,26,41744,34574,8006,-269230759.6057692,6.938461538461539,70808.82692307692,860.6538461538462,-888888888.0
59,103.0,284,24951,2481,117889,10530,47148,722,76,26896,27694,4823,-161616142.07272726,11.463636363636365,63239.84848484849,1001.7272727272727,-888888888.0
60,104.0,310,45102,5606,181499,144457,3190,408,72,16013,13355,4004,-196721292.8901639,5.618032786885248,79108.26229508196,1011.9180327868852,-888888888.0
61,105.0,92,18680,3805,203783,32687,116405,733,293,31031,15169,7465,-164102556.21076918,7.1,91424.21538461538,922.4923076923077,-888888888.0
62,106.0,0,25657,4817,138813,44984,21917,868,61,31447,31025,8511,-361904761.54285717,9.114285714285717,72536.6,1123.7428571428572,-888888888.0
63,107.0,304,21588,3468,161812,62381,20484,418,44,55873,15785,6827,-17543849.82631579,7.807894736842104,79392.02631578948,1434.9736842105262,-888888888.0
